SampleID,SOC (%),Catch,Conv,Elev,DevME A,DevME B,DevME C,DevME D,DiffME A,DiffME B,DiffME C,DiffME D,EDF MID,EDF NE,EDF NW,EDF SE,EDF SW,EDF E,EDF N,Gcurv,Hillshade,LS,MDM A,MDM B,MDM C,MDMS A,MDMS B,MDMS C,MED A,MED B,MED C,MEDS A,MEDS B,MEDS C,MRRTF,MRVBF,MSP,MSTPI,NormH,Plan,Pro,RSP,SLength,SlopeH,Slope,SPI,StanH,SVF,SWI,TCurv,TPI,TRI,TWI,VDepth,VIS,NDVI_max,NDVI_median,NDVI_sd,X (DD),Y (DD)
1,4.88,105.5603027,-1.695651054,397.3091125,-0.24233596,-0.019692933,-0.416003048,-1.223508358,-0.042644627,-0.008253968,-0.804703057,-6.168179512,400.1405945,1777.670532,1640.15625,1276.758545,1077.085205,1117.5,1382.5,-0.002907715,0.765437424,0.194416493,-0.103770338,-3.880642653,-8.404779434,19,59,199,-0.291810721,-0.883678079,-1.761287093,3,59,199,1.885042071,7.949380875,0.823811769,-0.204847381,0.0880941,-0.00736165,-0.00131684,0.009522445,14.14213562,0.937554598,0.018518105,1.955000281,393.9897156,0.999041557,10.69218636,1.86E-06,-0.025165057,0.059154134,8.648174286,9.705094337,98.23099518,0.876076341,0.694713175,0.164614431,-80.269163,43.707232
2,4.76,11756.40625,-12.77918243,397.2079773,-0.778742909,-0.452078998,-0.494462401,-1.258174658,-0.106776856,-0.159319729,-0.937874198,-6.308767319,382.900116,1759.719482,1632.976563,1275.387207,1093.897827,1107.5,1367.5,-0.001989746,0.77167666,0.112487547,-0.23801069,-4.042814732,-8.545196533,19,59,199,-0.761379361,-0.915616214,-1.789967775,6,59,199,0.059002217,7.948594093,0.835848749,-0.498906612,0.082075626,-0.060868487,-0.000596202,0,99.49747467,0.923267782,0.006548985,76.99362946,393.9595032,0.999125838,10.64099503,6.87E-07,-0.180932507,0.021447796,14.40058422,10.32572079,98.31978607,0.915626884,0.613926351,0.210947149,-80.269013,43.707365
3,5.1,2824.32959,-0.521328151,397.3900146,-0.171732441,-0.254895538,-0.437165946,-1.231416702,-0.031157024,-0.092312925,-0.798167169,-6.150779724,369.2729492,1742.516113,1632.900024,1267.423584,1111.918335,1092.5,1357.5,-0.000437012,0.762880385,0.168369815,-0.136837095,-3.883872271,-8.405158043,19,59,199,-0.289765507,-0.88416934,-1.759825587,8,59,199,0.499847502,7.947877884,0.837425113,-0.171006992,0.081287436,-0.010278577,-9.72E-05,0,240.0610504,0.836138844,0.011799642,33.32762527,393.9714966,0.999087572,10.54565907,2.28E-07,-0.111542478,0.037374105,12.38566589,9.450061798,98.3711853,0.927209735,0.646960318,0.234736936,-80.268867,43.70749
4,5.7,5295.354492,3.123697996,397.5132751,0.009115475,0.044004057,-0.394856274,-1.225852251,0.001652893,0.017006803,-0.716328919,-6.083858013,347.4370422,1720.672119,1621.947144,1269.138428,1131.685669,1082.5,1337.5,-0.000214844,0.755101562,0.151364371,-0.024147069,-3.823014259,-8.325335503,19,59,199,0.041161835,-0.863997817,-1.7425313,9,59,199,1.560108423,7.946214199,0.829993486,0.02207648,0.085003257,0.019732336,-0.000302997,0,804.7662354,0.811543405,0.009913323,52.49627686,393.9958191,0.99903208,10.35295582,1.32E-07,0.000610594,0.031468198,13.18842793,8.735660553,98.37984467,0.91574955,0.711604118,0.183206686,-80.268703,43.707638
5,5.11,6871.969727,2.66157794,397.637207,0.072724268,0.113439202,-0.366388321,-1.215629101,0.014545455,0.043764174,-0.656052113,-5.99973011,329.4882507,1699.577148,1618.197266,1264.342773,1152.632813,1067.5,1322.5,0.000344238,0.737067699,0.197751105,0.057754159,-3.729191065,-8.246554375,13,59,199,0.121949166,-0.844962597,-1.725515366,11,59,199,2.531255007,7.944657803,0.817843139,0.076348655,0.091078445,0.01427464,-1.53E-05,0.00383166,0,0.854387879,0.013131667,90.24560547,394.0304565,0.998976707,10.26188946,6.35E-08,0.057566836,0.041575938,13.1678772,8.526403427,98.39402008,0.934996247,0.651558101,0.271645316,-80.268508,43.707771
6,4.43,4010.935303,0.662144661,397.7693787,0.091509365,0.147521585,-0.331956327,-1.198800325,0.019504132,0.056916099,-0.593251824,-5.891908169,316.879303,1682.382935,1618.768799,1257.144531,1170.64624,1052.5,1312.5,0.000400391,0.733407795,0.201325506,0.079945274,-3.608836651,-8.152211189,14,59,199,0.163425863,-0.824321151,-1.705500722,12,59,199,2.211485624,7.943282604,0.824045122,0.106588937,0.087977424,-7.19E-05,0.000201146,0.012288608,310.9189148,0.885134459,0.014048309,56.35056686,394.0297852,0.998982608,10.30450058,8.14E-08,0.087548837,0.044443432,12.5619669,9.175792694,98.38079834,0.93850565,0.647970617,0.281071957,-80.268359,43.707889
7,3.53,2386.693115,0.59644264,397.7972107,0.100688286,0.188244894,-0.327206343,-1.20751369,0.025123967,0.077641726,-0.586785793,-5.887406349,295.5714722,1660.530762,1608.528076,1259.905762,1190.530396,1042.5,1292.5,0.000500488,0.724754691,0.224660486,0.102646254,-3.62095952,-8.165234566,14,59,199,0.205565363,-0.825441062,-1.707350373,12,59,199,2.498537779,7.941837788,0.830954313,0.143088907,0.084522858,0.002007651,0.000216674,0.018932201,0,0.86614871,0.016674515,39.80064011,394.0179749,0.998909593,10.45732307,6.53E-08,0.110551514,0.052752908,11.8714447,9.381360054,98.34880829,0.929171205,0.641547859,0.246860678,-80.268186,43.708051
8,3.63,1405.403809,1.727221131,397.9653015,0.201849684,0.323643893,-0.273752153,-1.180343866,0.050082646,0.136462584,-0.495963454,-5.729465008,283.8353271,1643.338867,1609.522461,1253.220825,1208.537354,1027.5,1282.5,0.000744629,0.727886319,0.204818606,0.160380363,-3.461270094,-8.034064293,14,59,199,0.330383241,-0.796227098,-1.679513335,11,59,199,2.566520691,7.939377308,0.808231294,0.262047589,0.09588436,0.008303941,0.000241214,0.025702583,0,0.954459846,0.015775619,22.17295456,394.0809937,0.998989642,10.48811531,1.10E-07,0.163744673,0.049937475,11.39728642,8.999820709,98.38640594,0.94389987,0.627074599,0.293316837,-80.268014,43.708157
9,3.51,622.6495972,2.589242458,398.0128174,0.275509745,0.342019737,-0.282204032,-1.182929754,0.078016527,0.154852614,-0.506793857,-5.692959309,262.7974548,1618.351807,1602.82959,1252.622192,1232.502563,1012.5,1262.5,0.001474609,0.711327374,0.220185086,0.160142973,-3.442351103,-8.035634041,12,59,199,0.337487638,-0.794412196,-1.678818345,9,59,199,2.429042816,7.935637951,0.778318226,0.362010777,0.110840894,0.016288377,0.000434462,0.026863085,28.28427124,1.021656275,0.018576592,11.56803799,394.1505127,0.998989284,10.51853848,3.08E-07,0.149082333,0.05890831,10.4197216,8.195666313,98.43185425,0.934707284,0.637998641,0.259874217,-80.267851,43.708324
10,3.46,1231.835815,0.165573016,397.9262085,0.12475691,0.135140166,-0.354533404,-1.211288929,0.038016528,0.063832201,-0.629123867,-5.790216923,247.512619,1600.394531,1597.267212,1253.500122,1249.504883,1002.5,1247.5,0.000673828,0.704273641,0.252796143,0.064998358,-3.55034852,-8.157076836,10,59,199,0.147796452,-0.820919156,-1.703392029,8,59,199,0.985236347,7.933336735,0.793491662,0.193808064,0.103254177,-0.002132256,0.000380167,0.018687492,35.35533905,0.980583668,0.020393394,25.12479591,394.1086121,0.998969197,10.47654724,1.61E-07,0.025126697,0.064528324,11.00866604,8.516210556,98.42301178,0.916697383,0.673935473,0.199224951,-80.267694,43.708458
